50	112
18	11
37	44
11	23
24	41
17	48
19	7
10	44
47	12
37	29
20	3
1	23
16	36
39	4
27	33
50	20
9	10
33	43
28	23
25	38
14	1
25	20
27	8
9	16
42	50
32	9
18	44
46	31
46	9
27	40
6	19
10	34
40	27
12	25
29	16
43	42
6	25
7	46
40	35
38	45
5	48
40	13
30	35
26	12
10	4
35	2
5	47
39	7
24	45
34	37
17	42
27	27
28	33
19	33
43	39
48	16
17	37
35	23
22	40
3	18
12	6
38	26
12	14
7	45
9	11
35	30
1	2
32	33
50	9
30	49
18	8
36	18
20	28
5	40
20	42
47	13
24	36
6	9
23	18
5	8
27	4
27	45
25	11
43	17
41	32
37	37
15	16
38	37
20	25
1	29
14	49
11	7
25	11
11	46
36	49
1	40
37	42
45	26
46	44
26	41
9	40
35	8
36	9
4	45
25	41
47	4
10	35
41	5
49	1
37	47
25	29
23	5
4	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
